#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
58,Charlotte Letitia Crosby @charlottegshore,8.8M,0.57%,United Kingdom,Fashion and Accessories Fitness and Health TV Shows,2.6M
59,Holly Willoughby @hollywilloughby,8.5M,0.32%,United Kingdom,Entertainment and Music Beauty and Self Care,2.6M
60,John Terry @johnterry.26,8.3M,1.01%,United Kingdom,Sports,2.5M
61,Karen Gillan @karengillan,8.1M,2.09%,United Kingdom,Entertainment and Music Food Actors,2.4M
62,Molly-Mae Hague @mollymae,7.9M,0.13%,United Kingdom,Fashion and Accessories Home and Garden Business and Finance Actors,2.4M
63,The UK07 Rider @anurag_dobhal,7.9M,13.93%,United Kingdom,Education Upskilling,2.4M
64,Bela Padilla @bela,7.8M,0.6%,United Kingdom,Arts and Crafts Entertainment and Music Celebrity Actors,2.3M
65,Hero Fiennes Tiffin @hero_ft,7.5M,9.89%,United Kingdom,Celebrity Modeling Styling,2.3M
66,Lewis Capaldi @lewiscapaldi,7.4M,4.7%,United Kingdom,Entertainment and Music Music Songwriting Band,2.2M
67,Jessica Alves @jessicaalvesuk,7.4M,0.05%,United Kingdom,Fashion and Accessories Travel Television Modeling,2.2M
68,Arctic Monkeys @arcticmonkeys,7.3M,8.84%,United Kingdom,Entertainment and Music Music Producers,2.2M
69,Gregg Sulkin @greggsulkin,7.2M,0.56%,United Kingdom,Celebrity Actors,2.2M
70,Harry Styles HQ @hshq,7.2M,14.59%,United Kingdom,Entertainment and Music Music Singer,2.2M
71,Orlando Bloom @orlandobloom,7.2M,0.62%,Suurbritannia,Näitlejad Näitleja,2.1M
72,Frank Lampard @franklampard,7M,2.02%,Suurbritannia,Sport Jalgpall,2.1M
73,Julius Dein @juliusdein,6.7M,3.31%,Suurbritannia,Meelelahutus ja muusika Lõbus Elustiil Kuulsused,2M
74,Michelle Keegan @michkeegan,6.7M,0.97%,Suurbritannia,Elustiil,2M
75,MARIO TESTINO @mariotestino,6.6M,0.36%,Suurbritannia,Romantika ja pulmad Kunst ja käsitöö Korvpall,2M
76,Mason Mount @masonmount,6.4M,13.71%,Suurbritannia,Sport,1.9M
77,James Corden @j_corden,6.3M,1.29%,Suurbritannia,Näitlejad,1.9M
78,Idris Elba @idriselba,6.3M,1.22%,Suurbritannia,,1.9M
79,Regé-Jean Page @regejean,6.3M,6.89%,Suurbritannia,Näitlemine ja draama,1.9M
80,Séan Garnier| World Champion @seanfreestyle,6.2M,3.09%,Suurbritannia,Sport Äri ja finants Jalgpall Mäng,1.9M
81,Nathalie Emmanuel @nathalieemmanuel,6.2M,0.75%,Suurbritannia,Toit Ilutooted ja enesehooldus Näitlejad,1.9M
82,Kit Connor @kit.connor,6.1M,28.68%,Suurbritannia,Meelelahutus ja muusika,1.8M
83,Charlie Heaton @charlie.r.heaton,6.1M,5.46%,Suurbritannia,Näitlejad Muusika,1.8M
84,Saraya Bevis @realpaigewwe,6M,2.5%,Suurbritannia,Sport Muusika Laulja Modellindus,1.8M
85,Stacey Solomon @staceysolomon,5.9M,5.18%,Suurbritannia,Pere Meelelahutus ja muusika Lapsevanemlus Muusika,1.8M
86,Rio Ferdinand OBE @rioferdy5,5.9M,0.75%,Suurbritannia,Meelelahutus ja muusika Jalgpall,1.8M
87,Queen @officialqueenmusic,5.9M,0.7%,Suurbritannia,Meelelahutus ja muusika Muusika Rock Laulja,1.8M
88,Ozzy Osbourne @ozzyosbourne,5.8M,0.56%,Suurbritannia,Meelelahutus ja muusika Muusika,1.7M
89,Zakir Khan @zakirkhan_208,5.7M,4.63%,Suurbritannia,Meelelahutus ja muusika Lõbus Elu ja ühiskond Kuulsus,1.7M
90,Kate Beckinsale @katebeckinsale,5.6M,0.84%,Suurbritannia,Meelelahutus ja muusika Modellindus,1.7M
91,Tommy TNT Fury @tommyfury,5.5M,3.58%,Suurbritannia,Sport,1.7M
92,Vicky Pattison @vickypattison,5.5M,0.3%,Suurbritannia,Meelelahutus ja muusika Romantika ja pulmad Lapsevanemlus Telejuht,1.7M
93,Catherine Zeta-Jones @catherinezetajones,5.5M,0.73%,Suurbritannia,Meelelahutus ja muusika Pere Kodu ja aed Kuulsus,1.6M
94,Jordan Henderson @jordanhenderson,5.4M,3.73%,Suurbritannia,Sport Jalgpall,1.6M
95,Harry Maguire @harrymaguire93,5.3M,3.02%,Suurbritannia,Sport Jalgpall,1.6M
96,Adnan Alkateb @adnanalkateb,5.3M,1.01%,Suurbritannia,Kuulsus Ajakirjanikud,1.6M
97,Alex Oxlade-Chamberlain @alexoxchamberlain,5.2M,3.35%,Suurbritannia,Sport Jalgpall,1.6M
98,Luke Shaw @lukeshaw23,5.1M,3.87%,Suurbritannia,Sport Moekaubad ja aksessuaarid Jalgpall,1.5M
99,Ranjit Bawa @ranjitbawa,5.1M,0.97%,Suurbritannia,Meelelahutus ja muusika Muusika Modellindus Laulja,1.5M
100,𝐆📀𝐋𝐃𝐄𝐍💰 @barnabaclassic,5M,0.1%,Suurbritannia,Meelelahutus ja muusika Lapsevanemlus Laulja,1.5M
