#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
68,Selfridges @theofficialselfridges,75.4K,0.75%,United Kingdom,Fashion & Accessories,22.6K
69,Nottingham Forest @officialnffc,74.4K,0.74%,United Kingdom,Sports,22.3K
70,BAFTA @bafta,71.8K,-,United Kingdom,Entertainment & Music,21.5K
71,JACOB RIGLIN @jacob,70.8K,0.59%,United Kingdom,Photography Product Education Upskilling,21.2K
72,Kristina Makeeva↟Kotleta↟Timon @hobopeeba,70K,0.76%,United Kingdom,Arts & Crafts Oddly Satisfying Photography,21K
73,Carolyn @theslowtraveler,68.6K,0.67%,United Kingdom,Travel Outdoor Activity,20.6K
74,Elvin Levinler 🌈 @elvin,68.2K,0.84%,United Kingdom,Fitness & Health Travel,20.5K
75,Sophie Hannah @sophiehannah,68K,0.22%,United Kingdom,Fashion & Accessories Home & Garden,20.4K
76,@bm_stores,67.9K,0.51%,United Kingdom,Product Showcase Finance,20.4K
77,Chloe Ferry💀 @chloegshore1,67.2K,0.14%,United Kingdom,Entertainment & Music Fashion & Accessories,20.2K
78,Jennifer Tuffen @izkiz,66.2K,0.26%,United Kingdom,Travel,19.9K
79,Lord's Cricket Ground @homeofcricket,65.6K,0.54%,United Kingdom,Sports,19.7K
80,Sports Direct Football @sportsdirectfootball,65.5K,0.11%,United Kingdom,Sports Auto and Vehicles,19.7K
81,Elle Edwards @livefitelle,64.4K,0.26%,United Kingdom,Health & Fitness,19.3K
82,Ahmad al-Rashid @british_english_plus,64.2K,0.11%,United Kingdom,Education,19.3K
83,WTF1 @wtf1official,63.9K,0.52%,United Kingdom,Sports,19.2K
84,Liberty London @libertylondon,63.7K,-,United Kingdom,Shopping Arts & Crafts Fashion & Accessories,19.1K
85,DANIEL SIMMONS @imdanielsimmons,63.2K,1.37%,United Kingdom,Entertainment & Music,19K
86,BINKY FELSTEAD @binkyfelstead,62.9K,0.21%,United Kingdom,family,18.9K
87,Jay Beech @jayybeech,62.8K,0.27%,United Kingdom,Entertainment & Music,18.8K
88,Toufiluk | توفيلوك @toufiluk,62.7K,0.67%,United Kingdom,Education,18.8K
89,The Sole Supplier @thesolesupplier,62.2K,0.15%,United Kingdom,Fashion & Accessories,18.6K
90,Christian Martin @christianmartin03,62.1K,0.11%,United Kingdom,News Sports Entertainment & Music,18.6K
91,XENIA TCHOUMI @xenia,61.9K,0.17%,United Kingdom,Education Upskilling Finance Entertainment & Music,18.6K
92,Pinch of Nom @pinchofnom,61.8K,0.09%,United Kingdom,Food,18.5K
93,Frankie Bridge @frankiebridge,61.2K,0.32%,United Kingdom,Entertainment & Music family Education,18.4K
94,Sam | Sustainable Living @sambentley,60.9K,0.72%,United Kingdom,Education Life & Society,18.3K
95,Tastemade UK @tastemadeuk,60.7K,0.02%,United Kingdom,Food,18.2K
96,The Range @therangeuk,60.2K,0.2%,United Kingdom,Home & Garden Arts & Crafts,18.1K
97,Esther Oluchi Nwokoro @astar4real,59.8K,0.43%,United Kingdom,Entertainment & Music Fashion & Accessories,17.9K
98,Jamie Genevieve @jamiegenevieve,59.8K,1.55%,United Kingdom,Beauty & Self Care,17.9K
99,Samira Kazan @alphafoodie,59.6K,0.53%,United Kingdom,Food DIY & Life Hacks,17.9K
100,Royal Opera House @royaloperahouse,59.4K,0.4%,United Kingdom,Entertainment & Music,17.8K
